n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,power_Accuracy_ANOVA,power_Precision_ANOVA,Duration
16,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,0.98,0.2,1.0,0.22,0.46,0.18,589156 milliseconds
18,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.15,1.0,0.24,0.53,0.17,665563 milliseconds
20,2,5,8,40,-0.05,0.1,0,0.108,0.1,0.1,0.1,1.0,0.31,1.0,0.33,0.64,0.27,761341 milliseconds
10,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.64,0.1,0.63,0.13,0.0,0.11,324371 milliseconds
12,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.68,0.09,0.72,0.12,0.01,0.1,391683 milliseconds
14,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.83,0.13,0.78,0.17,0.01,0.11,457036 milliseconds
16,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.89,0.12,0.8,0.18,0.0,0.14,616284 milliseconds
18,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.94,0.17,0.9,0.22,0.0,0.18,704843 milliseconds
20,2,5,8,40,-0.025,-0.1,0,0.108,0.1,0.1,0.1,0.9,0.21,0.85,0.29,0.01,0.24,776723 milliseconds
10,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.64,0.03,0.65,0.09,0.01,0.03,314953 milliseconds
12,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.77,0.06,0.64,0.08,0.01,0.07,389731 milliseconds
14,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.74,0.06,0.65,0.07,0.0,0.05,473156 milliseconds
16,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.83,0.1,0.81,0.13,0.03,0.09,605379 milliseconds
18,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.85,0.07,0.82,0.1,0.0,0.07,679831 milliseconds
20,2,5,8,40,-0.025,-0.05,0,0.108,0.1,0.1,0.1,0.93,0.09,0.86,0.1,0.0,0.08,778234 milliseconds
